"item_drug_frequency_number","item_drug_frequency_description","item_drug_frequency_descriptione","?column?"
"1W2","วันละ 1 ครั้ง พร้อมอาหาร เที่ยง","/once daily with meal at lunch","1"
"26","วันละ 2 ครั้ง เย็น-ก่อนนอน","/twice daily in evening and at bedtime","1"
"2A2","วันละ 2 ครั้ง ก่อนอาหาร เช้า-เที่ยง","/twice daily before breakfast and lunch","1"
"2A3","วันละ 2 ครั้ง ก่อนอาหาร เช้า-ก่อนนอน","/twice daily before breakfast and bedtime","1"
"2I2","วันละ 2 ครั้ง หลังอาหารทันที เช้า-เที่ยง","/twice daily after meals immidiately breakfast and noon","1"
"2P4","วันละ 2 ครั้ง หลังอาหาร เที่ยง-เย็น","/twice daily after lunch and supper","1"
"2W4","วันละ 2 ครั้ง พร้อมหลังอาหาร เที่ยง-เย็น","/twice daily with meal at lunch and supper","1"
"2W5","วันละ 2 ครั้ง พร้อมอาหาร เที่ยง-ก่อนนอน","/twice daily with meal at  lunch and at bedtime","1"
"03A","วันละ 3 ครั้ง ก่อนอาหาร เช้า-กลางวัน-เย็น","/3 times daily before each meal","1"
"3A2","วันละ 3 ครั้ง ก่อนอาหาร เช้า-กลางวัน-ก่อนนอน","/3 times daily before breakfast, lunch and bedtime","1"
"3P2","วันละ 3 ครั้ง หลังอาหาร เช้า-กลางวัน-ก่อนนอน","/3 times daily after breakfast, lunch and at beddtime","1"
"3W1","วันละ 3 ครั้ง พร้อมอาหาร เช้า-กลางวัน-เย็น","/3 times daily with each meal","1"
"4A1","วันละ 4 ครั้ง ก่อนอาหาร","/4 times daily before meal","1"
"4A2","วันละ 4 ครั้ง ก่อนอาหาร เช้า - บ่าย 3 โมง - 2 ทุ่ม - ตี1","/4 times daily before breakfast, 3 pm , 8 pm and 1 am","1"
"4W1","วันละ 4 ครั้ง พร้อมอาหาร เช้า-กลางวัน-เย็น-ก่อนนอน","/4 times daily with each meal and at bedtime","1"
"Q12","ทุก 12 ชั่วโมง","/every 12 hours","1"
"Q3","ทุก 3 ชั่วโมง ตั้งแต่เริ่มปวดท้องไปจนคลอด","/every 3 hours","1"
"Q46F","ทุก 4-6 ช.ม.เวลาปวดหรือมีไข้","every 4-6 hours for pain / fever","1"
"1*5","รับประทานครั้งละ 1 เม็ด เวลา 6.00 น., 10.00 น., 14.00 น., 18.00 น. และ 22.00 น.","take 1 tablet at 6.00 am,10.00 am ,2.00 pm ,6.00 pm,
and 10.00pm","1"
"2D2","2 ครั้ง ห่างกัน 20 นาที","","1"
"A3","ก่อนอาหารเช้า และ.......ยูนิต ก่อนอาหารเย็น","","1"
"Q20M","ทุก 20 นาที","","1"
"WL","เวลามีอาการระคายเคืองตา","","1"
"HWE","สระผมทุกวัน","","1"
"P1DWD","หลังอาหารเช้า  วันเว้นวัน","","1"
"PC DOD","หลังอาหาร วันเว้นวัน","","1"
"OD AC N","วันละ 1 ครั้ง ก่อนอาหารกลางวัน","","1"
"OD PC E","วันละ 1 ครั้ง หลังอาหารเย็น","","1"
"OD PC N","วันละ 1 ครั้ง หลังอาหารกลางวัน","","1"
"IC","เวลาคัน","","1"
"DIZ","เวลาเวียนศรีษะ","","1"
"VOM","เวลาคลื่นไส้-อาเจียน","","1"
"HA","เวลาปวดศรีษะ","","1"
"INS","เวลานอนไม่หลับ","","1"
"CH PAIN","เวลาเจ็บแน่นหน้าอก","","1"
"Q48ABD","ทุก 4-8 ช.ม. เวลามีอาการปวดท้อง","","1"
"JOINT","เวลาปวดข้อ","","1"
"HS DOD","ก่อนนอน วันเว้นวัน","","1"
"NASAL CONG","เวลาคัดจมูก","","1"
"COLD","เวลาเป็นหวัด มีน้ำมูก","","1"
"PAIN","เวลามีอาการปวด","","1"
"ASTHMA","เวลาหอบ,เหนื่อย","","1"
"CONST","เวลาท้องผูก","","1"
"COUGH","เวลาไอ","","1"
"AC E DOD","ก่อนอาหารเย็น วันเว้นวัน","","1"
"DOD","วันเว้นวัน","","1"
"NON","....","","1"
"OD","วันละ 1 ครั้ง","","1"
"FEVER","เวลามีไข้สูง","","1"
"ID1","ฉีด ID 1 จุด","","1"
"ID2","ฉีด ID 2 จุด","","1"
"ABD","เวลาปวดท้อง","","1"
"OD1","วันละ 1 ครั้ง เช้า","","1"
"OD2","วันละ 1 ครั้ง เย็น","","1"
"OD AC E","วันละ 1 ครั้ง ก่อนอาหารเย็น","","1"
"ARR","เวลาใจสั่น","","1"
"DRR","เวลาถ่ายเหลว","","1"
"PC1015","1 เม็ดหลังอาหารเช้า 1 1/2 เม็ดหลังอาหารเย็น","","1"
"AC105","1 เม็ดก่อนอาหารเช้า ครึ่ง เม็ดก่อนอาหารเย็น","","1"
"AC201","2 เม็ด ก่อนอาหารเช้า 1 เม็ด ก่อนอาหารเย็น","","1"
"PC10005","1 เม็ดหลังอาหารเช้า  เม็ดครึ่งก่อนนอน","","1"
"PC201","2 เม็ด หลังอาหารเช้า 1 เม็ด หลังอาหารเย็น ","","1"
"Q2","ทุก 2 ชั่วโมง","","1"
"OD PC","วันละ 1 ครั้ง หลังอาหารเช้า","","1"
"OD AC","วันละ 1 ครั้ง ก่อนอาหารเช้า","","1"
"AC M DOD","ก่อนอาหารเช้า  วันเว้นวัน","","1"
"BID PC NE","วันละ 2 ครั้ง หลังอาหารกลางวัน-เย็น","","1"
"BID PC MN","วันละ 2 ครั้ง หลังอาหารเช้า-กลางวัน","","1"
"BID ACHS","วันละ 2 ครั้ง ก่อนอาหารเช้า- ก่อนนอน","","1"
"BID 820","วันละ 2 ครั้ง เวลา 8.00 และ 20.00 น.","","1"
"BID ACN","วันละ 2 ครั้ง ก่อนอาหารเช้า-กลางวัน","","1"
"BID ACNE","วันละ 2 ครั้ง ก่อนอาหารกลางวัน-เย็น","","1"
"BID N","วันละ 2 ครั้ง เช้า-กลางวัน","","1"
"BID PCHS","วันละ 2 ครั้ง หลังอาหารเช้า-ก่อนนอน","","1"
"22","วันละ 2 ครั้ง หลังอาหารเช้า-เย็น","","1"
"BID AC","วันละ 2 ครั้ง ก่อนอาหารเช้า-เย็น","","1"
"TID AC","วันละ 3 ครั้ง ก่อนอาหารเช้า-กลางวัน-เย็น","","1"
"TID2","วันละ 3 ครั้ง เช้า-กลางวัน-ก่อนนอน","","1"
"TID1","วันละ 3 ครั้ง เช้า-กลางวัน-เย็น","","1"
"TID AC3","วันละ 3 ครั้ง ก่อนอาหารเช้า-เย็น-ก่อนนอน","","1"
"TID PC3","วันละ 3 ครั้ง หลังอาหารเช้า-เย็น-ก่อนนอน","","1"
"TID ACHS","วันละ 3 ครั้ง ก่อนอาหารเช้า-กลางวัน-ก่อนนอน","","1"
"TID PC","วันละ 3 ครั้ง หลังอาหาร เช้า-กลางวัน-เย็น","","1"
"TID PCHS","วันละ 3 ครั้ง หลังอาหารเช้า-กลางวัน-ก่อนนอน","","1"
"QID","วันละ 4 ครั้ง เช้า-กลางวัน-เย็น-ก่อนนอน","","1"
"QID PC","วันละ 4 ครั้ง หลังอาหาร 3 มื้อและก่อนนอน","","1"
"QID AC","วันละ 4 ครั้ง ก่อนอาหาร 3 มื้อและก่อนนอน","","1"
"FID","วันละ 5 ครั้ง เวลา 6,10,14,18,22 นาฬิกา","","1"
"HSS","ก่อนนอน","","1"
"24U","ครั้งละ 24 ยูนิต ก่อนอาหาร เช้า","","1"
"144","รับประทาน วันละ 1 ครั้ง ก่อนนอน","","1"
"212","รับประทานครั้งละ 2 เม็ด หลังอาหารเช้า 1เม็ดหลังอาหารกลางวัน และ 2 เม็ดหลังอาหารเย็น","","1"
"212A","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า 1เม็ดก่อนอาหารกลางวัน และ 2 เม็ดก่อนอาหารเย็น","","1"
"21P","รับประทานครั้งละ 2 เม็ด หลังอาหารเช้า 1เม็ดหลังอาหารเย็น","","1"
"21A","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า 1 เม็ดก่อนอาหารเย็น","","1"
"1*1pc","รับประทานครั้งละ 1 เม็ด หลังอาหารเช้า","","1"
"1*2ac","รับประทานครั้งละ 1 เม็ด ก่อนอาหารเช้า-เย็น","","1"
"1*2pc","รับประทานครั้งละ 1 เม็ด หลังอาหารเช้า-เย็น","","1"
"1*3pc","รับประทานครั้งละ 1 เม็ด หลังอาหารเช้า-กลางวัน-เย็น","","1"
"1*4ac","รับประทานครั้งละ 1 เม็ด ก่อนอาหารเช้า-กลางวัน-เย็น-ก่อนนอน","","1"
"1*4pc","รับประทานครั้งละ 1 เม็ด หลังอาหารเช้า-กลางวัน-เย็น-ก่อนนอน","","1"
"2*1acช","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า","","1"
"2*1acท","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเที่ยง","","1"
"2*1acย","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเย็น","","1"
"2*1achs","รับประทานครั้งละ 2 เม็ด ก่อนนอน","","1"
"2*1pcช","รับประทานครั้งละ 2 เม็ด หลังอาหารเช้า","","1"
"2*1pcท","รับประทานครั้งละ 2 เม็ด หลังอาหารเที่ยง","","1"
"2*1pcย","รับประทานครั้งละ 2 เม็ด หลังอาหารเย็น","","1"
"2*2acชย","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า-เย็น","","1"
"2*2acชท","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า-เที่ยง","","1"
"2*2acชhs","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า-ก่อนนอน","","1"
"2*2acทย","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเที่ยง-เย็น","","1"
"2*2acทhs","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเที่ยง-ก่อนนอน","","1"
"2*2acยhs","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเย็น-ก่อนนอน","","1"
"2*2pcทย","รับประทานครั้งละ 2 เม็ด หลังอาหารเที่ยง-เย็น","","1"
"2*2pcชท","รับประทานครั้งละ 2 เม็ด หลังอาหารเช้า-เที่ยง","","1"
"2*2pcชย","รับประทานครั้งละ 2 เม็ด หลังอาหารเช้า-เย็น","","1"
"2*3acชทย","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า-เที่ยง-เย็น","","1"
"2*3acชทhs","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า-เที่ยง-ก่อนนอน","","1"
"2*3acชยhs","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า-เย็น-ก่อนนอน","","1"
"2*3acทยhs","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเที่ยง-เย็น-ก่อนนอน","","1"
"2*3pcชทย","รับประทานครั้งละ 2 เม็ด หลังอาหารเช้า-เที่ยง-เย็น","","1"
"2*4acชทยhs","รับประทานครั้งละ 2 เม็ด ก่อนอาหารเช้า-เที่ยง-เย็น-ก่อนนอน","","1"
"3*1acท","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเที่ยง","","1"
"3*1acย","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเย็น","","1"
"3*1achs","รับประทานครั้งละ 3 เม็ด ก่อนนอน","","1"
"3*1pcช","รับประทานครั้งละ 3 เม็ด หลังอาหารเช้า","","1"
"3*1pcท","รับประทานครั้งละ 3 เม็ด หลังอาหารเที่ยง","","1"
"3*1pcย","รับประทานครั้งละ 3 เม็ด หลังอาหารเย็น","","1"
"3*2acชท","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเช้า-เที่ยง","","1"
"3*2acชย","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเช้า-เย็น","","1"
"3*2acชhs","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเช้า-ก่อนนอน","","1"
"3*2acทย","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเที่ยง-เย็น","","1"
"3*2acทhs","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเที่ยง-ก่อนนอน","","1"
"3*2pcชท","รับประทานครั้งละ 3 เม็ด หลังอาหารเช้า-เที่ยง","","1"
"3*2pcชย","รับประทานครั้งละ 3 เม็ด หลังอาหารเช้า-เย็น","","1"
"3*2pcทย","รับประทานครั้งละ 3 เม็ด หลังอาหารเที่ยง-เย็น","","1"
"Chalck cap3","รับประทานครั้งละ 1 เม็ด พร้อมอาหารเช้า-กลางวัน-เย็น","","1"
"1q4hr","รับประทานครั้งละ 1 เม็ด ทุก 4 ชั่วโมง เมื่อมีอาการ..........","","1"
"1q6hr","รับประทานครั้งละ 1 เม็ด ทุก 6 ชั่วโมง เมื่อมีอาการ..........","","1"
"para","รับประทานครั้งละ 2 เม็ด ทุก 4-6 ชั่วโมง เมื่อมีอาการปวด หรือมีไข้","","1"
"ORS","ยา 1 ซอง ละลายน้ำ 1 แก้ว ดื่มบ่อยๆ แทนน้ำ","","1"
"flumucil2pcชย","ยา 1 ซอง ละลายน้ำ 1 แก้ว ดื่มหลังอาหารเช้า-เย็น","","1"
"flumcil3pcชทย","ยา 1 ซอง ละลายน้ำ 1 แก้ว ดื่มหลังอาหารเช้า-เที่ยง-เย็น","","1"
"t8","รับประทานครั้งละ 1 เม็ด เวลา 8.00 น. และ 20.00 น.","","1"
"Isordil","อมใต้ลิ้นครั้งละ 1 เม็ด เมื่อมีอาการแน่นหน้าอก","","1"
"Fluconazole","รับประทานครั้งละ 1 เม็ด หลังอาหารเช้า วันจันทร์-วันพฤหัสฯ","","1"
"1*1pcวันเว้นวัน","รับประทานครั้งละ 1 เม็ด หลังอาหารเช้า วันเว้นวัน","","1"
"1*1acวันเว้นวัน","รับประทานครั้งละ 1 เม็ด ก่อนอาหารเช้า วันเว้นวัน","","1"
"ORSเด็ก","ยา 1 ซองละลายน้ำ 5 ออนซ์ จิบบ่อยๆ แทนน้ำ","","1"
"Chalck cap1","รับประทานครั้งละ 1 เม็ด พร้อมอาหารเช้า","","1"
"Chalck cap2","รับประทานครั้งละ 1 เม็ด พร้อมอาหารเช้า-เย็น","","1"
"suppo","เหน็บทวารครั้งละ 1 แท่ง วันละ 1 ครั้งก่อนนอน","","1"
"VT","สอดช่องคลอดครั้งละ 1 แท่ง วันละ 1 ครั้งก่อนนอน","","1"
"Nose*2","พ่นจมูกวันละ 2 ครั้ง เช้า-เย็น","","1"
"Nose*3","พ่นจมูกวันละ 3 ครั้ง เช้า-กลางวัน-เย็น","","1"
"Nose*1","พ่นจมูกวันละ 1 ครั้ง เช้า","","1"
"apply*2","ทาบางๆ บริเวณที่เป็นวันละ 2 ครั้ง เช้า-เย็น","","1"
"apply*3","ทาบางๆ บริเวณที่เป็นวันละ 3 ครั้ง เช้า-กลางวัน-เย็น","","1"
"apply*5","ทาบางๆ บริเวณที่เป็นวันละ 5 ครั้ง","","1"
"Nose drop*1","หยอดจมูกครั้งละ 2-3 หยด ตอนเช้า","","1"
"Nose drop*2","หยอดจมูกครั้งละ 2-3 หยด ตอนเช้า-เย็น","","1"
"Nose drop*3","หยอดจมูกครั้งละ 2-3 หยด ตอนเช้า-กลางวัน-เย็น","","1"
"Nose drop*4","หยอดจมูกครั้งละ 2-3 หยด ตอนเช้า-กลางวัน-เย็น-ก่อนนอน","","1"
"eye*1","หยอดตาครั้งละ 2-3 หยด ตอนเช้า","","1"
"eye*2","หยอดตาครั้งละ 2-3 หยด ตอนเช้า-เย็น","","1"
"eye*3","หยอดตาครั้งละ 2-3 หยด ตอนเช้า-กลางวัน-เย็น","","1"
"eye*4","หยอดตาครั้งละ 2-3 หยด ตอนเช้า-กลางวัน-เย็น-ก่อนนอน","","1"
"3*4acชทยhs","รับประทานครั้งละ 3 เม็ด ก่อนอาหารเช้า-เที่ยง-เย็น-ก่อนนอน","","1"
"eye oint*1","ป้ายตาวันละ 1 ครั้ง ตอนเช้า","","1"
"eye oint*hr","ป้ายตาวันละ 1 ครั้ง ก่อนนอน","","1"
"eye oint*2","ป้ายตาวันละ 2 ครั้ง ตอนเช้า-เย็น","","1"
"eye oint*3","ป้ายตาวันละ 3 ครั้ง ตอนเช้า-กลางวัน-เย็น","","1"
"eye oint*4","ป้ายตาวันละ 4 ครั้ง ตอนเช้า-กลางวัน-เย็น-ก่อนนอน","","1"
"Inhaler","พ่นสูดเข้าทางปาก 1-2 ที เมื่อมีอาการหอบ","","1"
"shampoo","ใช้แทนแชมพูสระผมวันละ 1 ครั้ง","","1"
"calamine","ทาบางๆ บริเวณที่เป็น เมื่อมีอาการคัน","","1"
"Mucillin*3","ยา 1 ช้อนชา ละลายน้ำครึ่งแก้ว ดื่มหลังอาหารเช้า-กลางวัน-เย็น","","1"
"Mucillin*hs","ยา 1 ช้อนชา ละลายน้ำครึ่งแก้ว ดื่มก่อนนอน","","1"
"SMW","อมบ้วนปากกลั้วคอหลังอาหารเช้า-กลางวัน-เย็น-ก่อนนอน","","1"
"CON CON","ทาบริเวณที่เป็นตาปลา หรือหูด โดยทาวาสลีนรอบๆ บริเวณที่เป็น เพื่อลดอาการระคายเคือง  ก่อนนอน","","1"
"KMno4","ยา 3-4 เกล็ด ผสมน้ำแช่ก้น วันละ 1 ครั้ง ก่อนนอน","","1"
"Xylocaine viscous","- หยอดคอ 3-4 หยด อมกลั้วคอแล้วกลืนก่อนอาหารเช้า-กลางวัน-เย็น - ยา 20 หยด ผสมน้ำ 30 ml. อมกลั้วคอก่อนอาหารเช้า-กลางวัน-เย็น","","1"
"Neotica balm","ทาถูนวด บริเวณที่ปวด หรือฟกช้ำวันละ 3 ครั้ง ตอนเช้า-กลางวัน-เย็น","","1"
